Date,Separation,Is Eclipse
1950-01-01,140.5488611111111,False
1950-01-02,151.5896666666667,False
1950-01-03,162.73649999999998,False
1950-01-04,170.14877777777778,False
1950-01-05,158.76455555555555,False
1950-01-06,146.59366666666668,False
1950-01-07,133.97422222222224,False
1950-01-08,121.19205555555556,False
1950-01-09,108.29958333333333,False
1950-01-10,95.35108333333332,False
1950-01-11,82.36822222222222,False
1950-01-12,69.36280555555555,False
1950-01-13,56.24458333333333,False
1950-01-14,43.03933333333333,False
1950-01-15,30.006416666666667,False
1950-01-16,17.336,False
1950-01-17,5.883861111111111,False
1950-01-18,3.894361111111111,False
1950-01-19,8.579,False
1950-01-20,20.036527777777778,False
1950-01-21,31.808416666666666,False
1950-01-22,43.36327777777778,False
1950-01-23,54.517472222222224,False
1950-01-24,65.46858333333334,False
1950-01-25,76.30105555555555,False
1950-01-26,87.05741666666667,False
1950-01-27,97.84733333333332,False
1950-01-28,108.75577777777778,False
1950-01-29,119.86294444444444,False
1950-01-30,131.23658333333333,False
1950-01-31,142.79177777777778,False
1950-02-01,154.57830555555554,False
1950-02-02,166.45575,False
1950-02-03,165.44266666666667,False
1950-02-04,152.76105555555554,False
1950-02-05,139.5246111111111,False
1950-02-06,126.19961111111111,False
1950-02-07,112.92072222222222,False
1950-02-08,99.72836111111111,False
1950-02-09,86.68547222222223,False
1950-02-10,73.81266666666666,False
1950-02-11,61.11983333333333,False
1950-02-12,48.37272222222222,False
1950-02-13,35.84338888888889,False
1950-02-14,23.589583333333334,False
1950-02-15,11.622250000000001,False
1950-02-16,2.5181666666666667,False
1950-02-17,2.489916666666667,False
1950-02-18,11.534611111111111,False
1950-02-19,22.842499999999998,False
1950-02-20,34.03736111111111,False
1950-02-21,45.07080555555556,False
1950-02-22,55.88472222222222,False
1950-02-23,66.63055555555555,False
1950-02-24,77.38441666666667,False
1950-02-25,88.24988888888889,False
1950-02-26,99.31419444444444,False
1950-02-27,110.66402777777779,False
1950-02-28,122.37797222222221,False
1950-03-01,134.51669444444445,False
1950-03-02,146.88769444444443,False
1950-03-03,159.5986388888889,False
1950-03-04,171.91702777777778,False
1950-03-05,158.49744444444443,False
1950-03-06,144.72547222222224,False
1950-03-07,130.95844444444444,False
1950-03-08,117.33913888888888,False
1950-03-09,104.01291666666667,False
1950-03-10,91.015,False
1950-03-11,78.34802777777777,False
1950-03-12,65.99336111111111,False
1950-03-13,53.82516666666667,False
1950-03-14,41.76786111111111,False
1950-03-15,29.92061111111111,False
1950-03-16,18.305500000000002,False
1950-03-17,6.918666666666667,False
1950-03-18,0.10402777777777779,True
1950-03-19,3.1940277777777775,False
1950-03-20,14.249638888888889,False
1950-03-21,25.261111111111113,False
1950-03-22,36.222,False
1950-03-23,47.047666666666665,False
1950-03-24,57.78283333333333,False
1950-03-25,68.61697222222222,False
1950-03-26,79.62830555555554,False
1950-03-27,90.9015,False
1950-03-28,102.52266666666667,False
1950-03-29,114.57124999999999,False
1950-03-30,127.09474999999999,False
1950-03-31,139.99555555555554,False
1950-04-01,153.23763888888888,False
1950-04-02,166.92119444444444,False
1950-04-03,163.65505555555555,False
1950-04-04,149.57327777777778,False
1950-04-05,135.53866666666667,False
1950-04-06,121.81569444444445,False
1950-04-07,108.5285,False
1950-04-08,95.69702777777778,False
1950-04-09,83.30158333333333,False
1950-04-10,71.29741666666666,False
1950-04-11,59.58533333333334,False
1950-04-12,47.950583333333334,False
1950-04-13,36.54844444444444,False
1950-04-14,25.35461111111111,False
1950-04-15,14.351416666666667,False
1950-04-16,3.5944166666666666,False
1950-04-17,0.9421666666666667,False
1950-04-18,6.567722222222222,False
1950-04-19,17.37788888888889,False
1950-04-20,28.28927777777778,False
1950-04-21,39.23105555555556,False
1950-04-22,50.07255555555556,False
1950-04-23,61.07452777777778,False
1950-04-24,72.30475,False
1950-04-25,83.83797222222222,False
1950-04-26,95.7503611111111,False
1950-04-27,108.11083333333333,False
1950-04-28,120.92141666666667,False
1950-04-29,134.2225,False
1950-04-30,147.7645,False
